review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person,cleaned_review,vader_sentiment,sentiment_label,pca_cluster,umap_cluster
0,Best brunch in town. Service was quick and the coffee was excellent.,43,4,,Dinner,,4,4,3,[''],2024-09-18,,best brunch in town service was quick and the coffee was excellent,0.2,positive,2,1
1,Standard cafe. Good for a quick bite.,,3,,Lunch,,2,3,3,[''],2024-01-22,,standard cafe good for a quick bite,0.0,neutral,,0
2,It was fine. Maybe we ordered the wrong thing.,,3,,Brunch,,2,3,3,[''],2024-05-24,,it was fine maybe we ordered the wrong thing,0.0,neutral,,0
3,Best brunch in town. Service was quick and the coffee was excellent.,31,5,,Lunch,,5,5,5,[''],2023-04-21,,best brunch in town service was quick and the coffee was excellent,0.2,positive,0,0
4,Service was slow and the order came wrong. Had to send it back.,,2,,Take Away,,2,2,1,[''],2023-10-30,,service was slow and the order came wrong had to send it,-0.2,negative,2,1
5,Service was slow and the order came wrong. Had to send it back.,,1,,Brunch,,1,1,1,[''],2023-01-22,,service was slow and the order came wrong had to send it,-0.2,negative,1,
6,Disappointed. The food was cold and the wait was too long.,,1,,Take Away,,1,1,1,[''],2023-09-25,,disappointed the food was cold and the wait was too long,-0.2,negative,0,2
7,Food was okay. Nothing special but not bad either.,19,3,,Breakfast,,3,3,3,[''],2024-03-11,,food was okay nothing special but not bad either,0.0,neutral,0,
8,Perfect for a quick lunch. The salad was fresh and the portion was generous.,46,5,,Lunch,,5,5,4,[''],2024-11-24,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,,
9,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Brunch,,1,2,1,[''],2023-07-19,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,0,1
10,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Dinner,,2,2,2,[''],2024-01-30,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,1,
11,Disappointed. The food was cold and the wait was too long.,30,2,,Dinner,,2,2,2,[''],2024-01-30,,disappointed the food was cold and the wait was too long,-0.2,negative,,2
12,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,5,,,,5,5,5,[''],2024-12-17,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,2,
13,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,,,2,2,1,[''],2023-04-01,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,0,0
14,It was fine. Maybe we ordered the wrong thing.,,3,,Brunch,,3,3,2,[''],2023-02-05,,it was fine maybe we ordered the wrong thing,0.0,neutral,0,1
15,Amazing experience. The burger was cooked perfectly and the atmosphere was lovely.,,4,,Lunch,,3,3,4,[''],2024-10-25,,amazing experience the burger was cooked perfectly and the atmosphere was lovely,0.2,positive,2,
16,Excellent service and tasty dishes. Will be back soon.,,5,,Breakfast,,5,4,5,[''],2024-11-14,,excellent service and tasty dishes will be back soon,0.2,positive,,2
17,Standard cafe. Good for a quick bite.,,3,,Breakfast,,3,2,3,[''],2024-11-17,,standard cafe good for a quick bite,0.0,neutral,1,1
18,Perfect for a quick lunch. The salad was fresh and the portion was generous.,19,4,,Breakfast,,4,4,4,[''],2023-11-03,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,,
19,Perfect for a quick lunch. The salad was fresh and the portion was generous.,39,4,,,,4,3,4,[''],2023-01-18,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,1,2
20,Great food and friendly staff. Will definitely come back!,,4,,Take Away,,4,4,4,[''],2023-12-17,,great food and friendly staff will definitely come back!,0.2,positive,2,
21,Disappointed. The food was cold and the wait was too long.,45,2,,Lunch,,2,2,2,[''],2023-10-17,,disappointed the food was cold and the wait was too long,-0.2,negative,,1
22,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Brunch,,1,2,1,[''],2023-05-14,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,,1
23,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,,5,,Take Away,,5,5,5,[''],2024-07-26,,great spot for families kids loved the pizza and we loved the,0.2,positive,0,1
24,Average experience. The menu is limited but prices are fair.,,3,,,,3,3,3,[''],2023-12-22,,average experience the menu is limited but prices are fair,0.0,neutral,0,0
25,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,,5,,Breakfast,,5,4,5,[''],2023-08-23,,great spot for families kids loved the pizza and we loved the,0.2,positive,2,0
26,Standard cafe. Good for a quick bite.,,3,,Lunch,,3,2,3,[''],2023-05-02,,standard cafe good for a quick bite,0.0,neutral,2,
27,It was fine. Maybe we ordered the wrong thing.,,3,,Take Away,,3,3,3,[''],2023-07-08,,it was fine maybe we ordered the wrong thing,0.0,neutral,0,0
28,Not worth the price. Portions were small and the place was noisy.,37,1,,,,1,1,1,[''],2023-11-10,,not worth the price portions were small and the place was noisy,-0.2,negative,0,2
29,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,5,,Take Away,,5,5,4,[''],2024-04-15,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,0,2
30,Standard cafe. Good for a quick bite.,,3,,Breakfast,,2,3,3,[''],2023-05-21,,standard cafe good for a quick bite,0.0,neutral,2,0
31,Standard cafe. Good for a quick bite.,,3,,,,3,3,3,[''],2023-04-04,,standard cafe good for a quick bite,0.0,neutral,1,
32,Had a wonderful time. Food was hot and the service was attentive.,,5,,Breakfast,,5,5,5,[''],2023-03-02,,had a wonderful time food was hot and the service was attentive,0.2,positive,2,1
33,Poor experience. Staff seemed rushed and forgot our drinks.,,1,,Take Away,,1,1,1,[''],2023-11-03,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,,0
34,Not worth the price. Portions were small and the place was noisy.,,1,,,,1,1,1,[''],2023-01-08,,not worth the price portions were small and the place was noisy,-0.2,negative,0,
35,Food was okay. Nothing special but not bad either.,,3,,Take Away,,3,2,3,[''],2024-07-23,,food was okay nothing special but not bad either,0.0,neutral,0,1
36,Best brunch in town. Service was quick and the coffee was excellent.,,4,,Dinner,,4,4,4,[''],2023-02-10,,best brunch in town service was quick and the coffee was excellent,0.2,positive,2,0
37,Average experience. The menu is limited but prices are fair.,,3,,Breakfast,,3,3,3,[''],2024-02-26,,average experience the menu is limited but prices are fair,0.0,neutral,,
38,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,4,,Brunch,,4,4,4,[''],2024-03-06,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,2,0
39,Would not recommend. The burger was overcooked and the fries were soggy.,17,1,,Take Away,,1,1,1,[''],2023-08-06,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,0,
40,Not worth the price. Portions were small and the place was noisy.,,2,,Lunch,,1,2,2,[''],2024-08-24,,not worth the price portions were small and the place was noisy,-0.2,negative,1,1
41,It was fine. Maybe we ordered the wrong thing.,17,3,,Take Away,,3,3,3,[''],2024-06-19,,it was fine maybe we ordered the wrong thing,0.0,neutral,0,2
42,Service was slow and the order came wrong. Had to send it back.,,2,,Take Away,,2,1,2,[''],2023-05-31,,service was slow and the order came wrong had to send it,-0.2,negative,,
43,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,,5,,Lunch,,4,5,4,[''],2024-09-17,,great spot for families kids loved the pizza and we loved the,0.2,positive,2,1
44,"Clean place, tasty food, and good value. Highly recommend.",,4,,Breakfast,,4,4,4,[''],2024-11-27,,clean place tasty food and good value highly recommend,0.2,positive,,
45,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,26,5,,,,5,5,5,[''],2023-12-15,,great spot for families kids loved the pizza and we loved the,0.2,positive,2,1
46,Disappointed. The food was cold and the wait was too long.,,1,,,,1,1,1,[''],2024-02-08,,disappointed the food was cold and the wait was too long,-0.2,negative,,1
47,Service was slow and the order came wrong. Had to send it back.,,1,,Breakfast,,1,1,1,[''],2023-07-12,,service was slow and the order came wrong had to send it,-0.2,negative,2,2
48,Would not recommend. The burger was overcooked and the fries were soggy.,4,1,,Brunch,,1,1,1,[''],2023-01-18,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,0,1
49,Lovely cafe with a nice vibe. The sandwiches were fresh and the staff was welcoming.,,5,,Breakfast,,5,5,4,[''],2024-12-24,,lovely cafe with a nice vibe the sandwiches were fresh and the,0.2,positive,2,1
50,Poor experience. Staff seemed rushed and forgot our drinks.,,1,,Take Away,,1,1,1,[''],2023-03-27,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,,
51,Lovely cafe with a nice vibe. The sandwiches were fresh and the staff was welcoming.,,4,,Brunch,,4,4,4,[''],2024-08-23,,lovely cafe with a nice vibe the sandwiches were fresh and the,0.2,positive,0,1
52,Standard cafe. Good for a quick bite.,,3,,Dinner,,3,2,3,[''],2023-07-13,,standard cafe good for a quick bite,0.0,neutral,0,
53,Food was okay. Nothing special but not bad either.,,3,,,,2,3,3,[''],2023-02-10,,food was okay nothing special but not bad either,0.0,neutral,,2
54,Food was okay. Nothing special but not bad either.,,3,,Brunch,,3,3,3,[''],2023-12-14,,food was okay nothing special but not bad either,0.0,neutral,2,2
55,Disappointed. The food was cold and the wait was too long.,,2,,Dinner,,2,2,2,[''],2024-07-15,,disappointed the food was cold and the wait was too long,-0.2,negative,,
56,Poor experience. Staff seemed rushed and forgot our drinks.,6,2,,Lunch,,2,2,2,[''],2024-12-22,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,1,
57,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,5,,Brunch,,5,5,5,[''],2023-10-18,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,,
58,"Clean place, tasty food, and good value. Highly recommend.",,4,,Dinner,,4,3,4,[''],2023-09-23,,clean place tasty food and good value highly recommend,0.2,positive,2,
59,It was fine. Maybe we ordered the wrong thing.,,3,,Take Away,,3,3,3,[''],2024-03-05,,it was fine maybe we ordered the wrong thing,0.0,neutral,2,
60,Service was slow and the order came wrong. Had to send it back.,9,2,,Take Away,,1,2,2,[''],2024-08-20,,service was slow and the order came wrong had to send it,-0.2,negative,,0
61,Excellent service and tasty dishes. Will be back soon.,,4,,Brunch,,3,3,4,[''],2023-10-13,,excellent service and tasty dishes will be back soon,0.2,positive,2,2
62,Amazing experience. The burger was cooked perfectly and the atmosphere was lovely.,,5,,Brunch,,4,4,4,[''],2023-12-08,,amazing experience the burger was cooked perfectly and the atmosphere was lovely,0.2,positive,2,2
63,Had a wonderful time. Food was hot and the service was attentive.,,4,,Dinner,,4,4,4,[''],2024-05-15,,had a wonderful time food was hot and the service was attentive,0.2,positive,2,0
64,Would not recommend. The burger was overcooked and the fries were soggy.,,2,,Dinner,,2,1,1,[''],2023-07-01,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,1,2
65,Best brunch in town. Service was quick and the coffee was excellent.,15,5,,Lunch,,4,5,5,[''],2024-10-03,,best brunch in town service was quick and the coffee was excellent,0.2,positive,1,0
66,Amazing experience. The burger was cooked perfectly and the atmosphere was lovely.,,4,,Take Away,,4,4,4,[''],2023-11-20,,amazing experience the burger was cooked perfectly and the atmosphere was lovely,0.2,positive,,2
67,Lovely cafe with a nice vibe. The sandwiches were fresh and the staff was welcoming.,,4,,Lunch,,4,3,4,[''],2024-09-17,,lovely cafe with a nice vibe the sandwiches were fresh and the,0.2,positive,0,1
68,Standard cafe. Good for a quick bite.,,3,,,,2,3,3,[''],2023-11-11,,standard cafe good for a quick bite,0.0,neutral,2,
69,It was fine. Maybe we ordered the wrong thing.,38,3,,,,3,3,2,[''],2023-11-12,,it was fine maybe we ordered the wrong thing,0.0,neutral,,0
70,Disappointed. The food was cold and the wait was too long.,21,1,,Brunch,,1,1,1,[''],2023-02-07,,disappointed the food was cold and the wait was too long,-0.2,negative,0,1
71,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,4,,Lunch,,4,3,4,[''],2024-11-19,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,,1
72,Food was okay. Nothing special but not bad either.,3,3,,Lunch,,3,2,3,[''],2024-08-12,,food was okay nothing special but not bad either,0.0,neutral,,2
73,Poor experience. Staff seemed rushed and forgot our drinks.,39,2,,Brunch,,2,2,2,[''],2024-10-25,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,,2
74,Food was okay. Nothing special but not bad either.,,3,,Brunch,,2,3,3,[''],2023-03-03,,food was okay nothing special but not bad either,0.0,neutral,,1
75,"Clean place, tasty food, and good value. Highly recommend.",,5,,Lunch,,5,5,5,[''],2023-04-26,,clean place tasty food and good value highly recommend,0.2,positive,1,0
76,Would not recommend. The burger was overcooked and the fries were soggy.,,1,,Take Away,,1,1,1,[''],2024-06-15,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,,1
77,Not worth the price. Portions were small and the place was noisy.,7,2,,Take Away,,2,1,2,[''],2023-05-19,,not worth the price portions were small and the place was noisy,-0.2,negative,,2
78,Would not recommend. The burger was overcooked and the fries were soggy.,,1,,Dinner,,1,1,1,[''],2023-01-15,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,2,
79,Excellent service and tasty dishes. Will be back soon.,,5,,Lunch,,5,5,5,[''],2024-03-04,,excellent service and tasty dishes will be back soon,0.2,positive,,
80,Not worth the price. Portions were small and the place was noisy.,,1,,Brunch,,1,1,1,[''],2023-08-02,,not worth the price portions were small and the place was noisy,-0.2,negative,1,2
81,Service was slow and the order came wrong. Had to send it back.,33,1,,Dinner,,1,1,1,[''],2023-03-09,,service was slow and the order came wrong had to send it,-0.2,negative,1,2
82,Lovely cafe with a nice vibe. The sandwiches were fresh and the staff was welcoming.,,5,,Brunch,,4,4,4,[''],2024-06-11,,lovely cafe with a nice vibe the sandwiches were fresh and the,0.2,positive,0,
83,Great food and friendly staff. Will definitely come back!,,4,,Breakfast,,4,4,4,[''],2024-02-23,,great food and friendly staff will definitely come back!,0.2,positive,,0
84,Great food and friendly staff. Will definitely come back!,21,4,,Brunch,,4,4,4,[''],2024-12-21,,great food and friendly staff will definitely come back!,0.2,positive,0,
85,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,5,,,,5,5,4,[''],2023-09-23,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,1,
86,Decent place. Service could be a bit faster.,,3,,Lunch,,3,2,3,[''],2023-01-17,,decent place service could be a bit faster,0.0,neutral,,0
87,Great food and friendly staff. Will definitely come back!,45,4,,Dinner,,4,4,4,[''],2023-10-02,,great food and friendly staff will definitely come back!,0.2,positive,,1
88,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,4,,Dinner,,3,4,4,[''],2024-03-12,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,1,2
89,Best brunch in town. Service was quick and the coffee was excellent.,,4,,Brunch,,4,3,4,[''],2024-09-13,,best brunch in town service was quick and the coffee was excellent,0.2,positive,2,
90,Standard cafe. Good for a quick bite.,33,3,,Lunch,,2,3,3,[''],2024-01-12,,standard cafe good for a quick bite,0.0,neutral,0,
91,Standard cafe. Good for a quick bite.,,3,,Take Away,,3,2,3,[''],2023-01-26,,standard cafe good for a quick bite,0.0,neutral,1,
92,Poor experience. Staff seemed rushed and forgot our drinks.,37,2,,Lunch,,2,2,2,[''],2024-03-30,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,0,
93,Amazing experience. The burger was cooked perfectly and the atmosphere was lovely.,26,5,,Take Away,,4,4,5,[''],2024-06-04,,amazing experience the burger was cooked perfectly and the atmosphere was lovely,0.2,positive,0,2
94,Really enjoyed our dinner. The pasta was delicious and the waiter was very helpful.,,5,,Take Away,,5,5,5,[''],2023-10-09,,really enjoyed our dinner the pasta was delicious and the waiter was,0.2,positive,2,1
95,Standard cafe. Good for a quick bite.,,3,,Take Away,,3,3,3,[''],2024-07-09,,standard cafe good for a quick bite,0.0,neutral,,2
96,Lovely cafe with a nice vibe. The sandwiches were fresh and the staff was welcoming.,,4,,,,4,3,4,[''],2024-03-02,,lovely cafe with a nice vibe the sandwiches were fresh and the,0.2,positive,,1
97,Lovely cafe with a nice vibe. The sandwiches were fresh and the staff was welcoming.,28,4,,Take Away,,4,3,4,[''],2024-02-06,,lovely cafe with a nice vibe the sandwiches were fresh and the,0.2,positive,0,1
98,Food was okay. Nothing special but not bad either.,18,3,,Brunch,,3,3,3,[''],2024-04-25,,food was okay nothing special but not bad either,0.0,neutral,1,0
99,Food was okay. Nothing special but not bad either.,,3,,,,3,3,3,[''],2023-10-03,,food was okay nothing special but not bad either,0.0,neutral,1,2
