review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person,cleaned_review,vader_sentiment,sentiment_label,pca_cluster,umap_cluster,month,year,total_score,sample_type
103,Great food and friendly staff. Will definitely come back!,,4,,,,4,4,4,[''],2024-09-07,,great food and friendly staff will definitely come back!,0.2,positive,0,,2024-09,2024,4.0,recent_best_reviews
106,Really enjoyed our dinner. The pasta was delicious and the waiter was very helpful.,,4,,Brunch,,4,4,4,[''],2023-02-02,,really enjoyed our dinner the pasta was delicious and the waiter was,0.2,positive,,,2023-02,2023,4.0,recent_best_reviews
107,Really enjoyed our dinner. The pasta was delicious and the waiter was very helpful.,,4,,Dinner,,4,4,3,[''],2023-03-29,,really enjoyed our dinner the pasta was delicious and the waiter was,0.2,positive,2,0,2023-03,2023,3.6666666666666665,recent_best_reviews
109,Great spot for families. Kids loved the pizza and we loved the calm atmosphere.,21,5,,Dinner,,4,5,4,[''],2023-01-06,,great spot for families kids loved the pizza and we loved the,0.2,positive,1,1,2023-01,2023,4.333333333333333,recent_best_reviews
111,Excellent service and tasty dishes. Will be back soon.,,5,,Dinner,,4,5,5,[''],2024-02-21,,excellent service and tasty dishes will be back soon,0.2,positive,0,0,2024-02,2024,4.666666666666667,recent_best_reviews
112,Had a wonderful time. Food was hot and the service was attentive.,11,5,,,,4,5,5,[''],2024-01-13,,had a wonderful time food was hot and the service was attentive,0.2,positive,1,1,2024-01,2024,4.666666666666667,recent_best_reviews
113,Great food and friendly staff. Will definitely come back!,,4,,Dinner,,3,3,4,[''],2024-03-03,,great food and friendly staff will definitely come back!,0.2,positive,0,0,2024-03,2024,3.3333333333333335,recent_best_reviews
114,Really enjoyed our dinner. The pasta was delicious and the waiter was very helpful.,24,5,,Brunch,,5,5,5,[''],2024-07-25,,really enjoyed our dinner the pasta was delicious and the waiter was,0.2,positive,0,,2024-07,2024,5.0,recent_best_reviews
115,Excellent service and tasty dishes. Will be back soon.,,4,,,,3,4,3,[''],2024-11-06,,excellent service and tasty dishes will be back soon,0.2,positive,0,,2024-11,2024,3.3333333333333335,recent_best_reviews
117,Excellent service and tasty dishes. Will be back soon.,,4,,Dinner,,4,3,4,[''],2023-04-24,,excellent service and tasty dishes will be back soon,0.2,positive,,,2023-04,2023,3.6666666666666665,recent_best_reviews
73,Poor experience. Staff seemed rushed and forgot our drinks.,39,2,,Brunch,,2,2,2,[''],2024-10-25,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,,2,2024-10,2024,2.0,recent_worst_reviews
76,Would not recommend. The burger was overcooked and the fries were soggy.,,1,,Take Away,,1,1,1,[''],2024-06-15,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,,1,2024-06,2024,1.0,recent_worst_reviews
77,Not worth the price. Portions were small and the place was noisy.,7,2,,Take Away,,2,1,2,[''],2023-05-19,,not worth the price portions were small and the place was noisy,-0.2,negative,,2,2023-05,2023,1.6666666666666667,recent_worst_reviews
78,Would not recommend. The burger was overcooked and the fries were soggy.,,1,,Dinner,,1,1,1,[''],2023-01-15,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,2,,2023-01,2023,1.0,recent_worst_reviews
80,Not worth the price. Portions were small and the place was noisy.,,1,,Brunch,,1,1,1,[''],2023-08-02,,not worth the price portions were small and the place was noisy,-0.2,negative,1,2,2023-08,2023,1.0,recent_worst_reviews
81,Service was slow and the order came wrong. Had to send it back.,33,1,,Dinner,,1,1,1,[''],2023-03-09,,service was slow and the order came wrong had to send it,-0.2,negative,1,2,2023-03,2023,1.0,recent_worst_reviews
92,Poor experience. Staff seemed rushed and forgot our drinks.,37,2,,Lunch,,2,2,2,[''],2024-03-30,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,0,,2024-03,2024,2.0,recent_worst_reviews
101,Would not recommend. The burger was overcooked and the fries were soggy.,5,1,,Brunch,,1,1,1,[''],2024-05-29,,would not recommend the burger was overcooked and the fries were soggy,-0.2,negative,1,0,2024-05,2024,1.0,recent_worst_reviews
108,Disappointed. The food was cold and the wait was too long.,,2,,Lunch,,2,1,2,[''],2024-07-20,,disappointed the food was cold and the wait was too long,-0.2,negative,2,1,2024-07,2024,1.6666666666666667,recent_worst_reviews
110,Poor experience. Staff seemed rushed and forgot our drinks.,,1,,,,1,1,1,[''],2023-09-25,,poor experience staff seemed rushed and forgot our drinks,-0.2,negative,,1,2023-09,2023,1.0,recent_worst_reviews
0,Best brunch in town. Service was quick and the coffee was excellent.,43,4,,Dinner,,4,4,3,[''],2024-09-18,,best brunch in town service was quick and the coffee was excellent,0.2,positive,2,1,2024-09,2024,3.6666666666666665,best_reviews_sample
3,Best brunch in town. Service was quick and the coffee was excellent.,31,5,,Lunch,,5,5,5,[''],2023-04-21,,best brunch in town service was quick and the coffee was excellent,0.2,positive,0,0,2023-04,2023,5.0,best_reviews_sample
8,Perfect for a quick lunch. The salad was fresh and the portion was generous.,46,5,,Lunch,,5,5,4,[''],2024-11-24,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,,,2024-11,2024,4.666666666666667,best_reviews_sample
12,Perfect for a quick lunch. The salad was fresh and the portion was generous.,,5,,,,5,5,5,[''],2024-12-17,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,2,,2024-12,2024,5.0,best_reviews_sample
15,Amazing experience. The burger was cooked perfectly and the atmosphere was lovely.,,4,,Lunch,,3,3,4,[''],2024-10-25,,amazing experience the burger was cooked perfectly and the atmosphere was lovely,0.2,positive,2,,2024-10,2024,3.3333333333333335,best_reviews_sample
16,Excellent service and tasty dishes. Will be back soon.,,5,,Breakfast,,5,4,5,[''],2024-11-14,,excellent service and tasty dishes will be back soon,0.2,positive,,2,2024-11,2024,4.666666666666667,best_reviews_sample
18,Perfect for a quick lunch. The salad was fresh and the portion was generous.,19,4,,Breakfast,,4,4,4,[''],2023-11-03,,perfect for a quick lunch the salad was fresh and the portion,0.2,positive,,,2023-11,2023,4.0,best_reviews_sample
