review_id,review,rating_score,date
0,If you are looking for great food and atmosphere Oceana is the place to go!! Ask for the best server Emily!! I cannot say enough great things!,5,2016-08-04
1,"Disappointing experience. ITEMS ON MENU DO NOT LIST ALL OF THE INGREDIENTS IN THE MEAL (that's gotta be some sort of food disclosure violation?)

We came at 8:30 a.m. and seemed like the first customers of the day.  Ordered the St. Louis benedict (4 stars). 

We also ordered the Maw Maw's cajun breakfast (2 stars) to-go.  On the menu, it says bacon bits, shrimp, scrambled eggs, and rice.  My girlfriend doesn't eat pork so we asked for the Maw Maw's without the bacon bits.  When the food came out, there was sausage and chicken in it as well.  I asked to send it back to have it made without the pork, but was told that I would be charged, even though the menu didn't list those extra ingredients.  Waitress made no attempts to even try to accommodate.  Did I mention we were the only ones in the restaurant?  I mean, it would make a little more sense if the place was packed and kitchen was bustling.  Baffling customer service response for a place with 3K+ reviews and 4 stars. 

With so many good cajun restaurants in the area, no need to deal with this nonsense.",2,2018-02-23
2,"Not much of a seafood lover, so I played it safe with their fried seafood platter. Gotta admit, it was amazing! They do have items that cater to non seafood lovers. I ordered their blackened chicken po-boy. Equally as good!
Great and friendly service, paired with awesome food, made my visit most enjoyable!",5,2011-03-20
3,"Really enjoyed the food and our waitress was so friendly and funny.  I had the crab cakes and with Sazarac for the drink. Great combo. We finished with the third special desert, browny with the Carmel praline sauce and ice-cream.   So good. Prices we reasonable for the area.",5,2018-10-04
4,"This was our first place to eat in NOLA. The interior is pretty cool; we got to eat up stairs by a window, so we got to people watch as we ate. All the staff was extremely friendly, which was really nice after the craziness of the quarter, haha. We shared the fried platter that includes catfish, oysters, and shrimp ($20). I also got the Oceana Favorite drink, which is champagne, cranberry juice and peach schnapps ($7) which gave me a nice little buzz and it tasted good.",4,2018-06-19
5,Absolutely delicious food and incredible service. Highly recommend this restaurant. Family friendly too.,5,2018-09-14
6,"The food here is GREAT!!!
Crab cakes, catfish, gumbo, pasta, dessert...I could go on. 
Expect to be in a food coma. 

We tried to make reservations, but we couldn't on a Saturday night. We went anyway and were very surprised to walk right on in!

Our server was Mike. Great service and an awesome N'awlins accent to go with it. 

I will be back!",5,2014-07-13
7,"This is my second time dining at Oceana and once again, their service was awesome. We were greeted, seated, and served by people who possessed great attitudes. I ordered the 20oz steak paired with collard greens and garlic mashed potatoes. The potatoes were great. The greens weren't really seasoned to well and were kind of bland. The steak was cooked very nicely BUT the dry rub was a bit much. I was almost like it wasnt used to SEASON it but to COAT it and I ended up scraping alot of it off. I MAY BE WRONG, but upon my visit in July, I thought they served a bread and butter while you wait for entrees but that wasnt the case on this visit. ONCE AGAIN... I may have the restaurants mixed up. OVERALL, I enjoyed the meal and would definitely visit again. 

BTW... THERE IS A WAITER THERE NAMED DAVID. HE IS AMAZING. Ask for him. He will take care of you!",4,2014-12-17
8,"We tried Oceana Grill for the first time mainly for the highly rated crab cakes. One of us had the crab cake platter which was rated as excellent. I had the Taste of New Orleans which has Creole jambalaya, crawfish etouffee, red beans and rice with smoked sausage, a little bit of everything I like. It was good with all of the various items having the correct taste and texture expected. We got there before the usual dinner time so we were seated immediately. The decor is clean and usual for a place in New Orleans. We had our order taken quickly and the food arrived in a decent amount of time. The did not have the IPA beer we wanted but the waiter, Todd, gave us a good suggestion.
If you watch the dynamics of a business you can quickly figure out that the wait staff have on blue shirts while the ""bosses"" have a burnt orange colored shirt. Just kind of strange to have the demarcation out in the open like that.
Recommend it.",5,2016-07-03
9,"The food was mediocre to decent (pretty small portions for the price, the pasta was over cooked, the oysters weren't super tasty, the cream sauces covered the taste of the food itself), HOWEVER, the atmosphere is great, and the service was really normal - both of those things have been hard to come by here. It has been a welcome reprieve.",3,2016-03-07
